Филиал;Серия;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
Московский;ЧС4ви;11 124 987;13 872 514;14 789 201;14 829 831;14 789 201;14 789 201;14 789 201;14 829 831;14 789 201;14 636 886;14 636 886;14 237 207;14 196 181;14 116 745;43 997 974;50 789 739;84 412 071;84 412 071;84 687 788;93 674 900;97 167 768;97 449 952;97 449 952;97 717 672;97 449 952;97 449 952;97 449 952;97 717 672;97 449 952;97 449 952;97 449 952;97 717 672;97 449 952;97 449 952;99 048 999;99 321 111;99 048 999;99 344 848
Московский;ЧС8ви;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;297 731;297 731;298 549;297 731;0
Московский;ВЛ10ви;3 292 188;3 292 188;3 292 188;3 301 233;3 292 188;3 292 188;3 292 188;3 301 233;3 292 188;3 292 188;3 292 188;3 301 233;3 292 188;3 292 188;3 292 188;1 603 456;1 599 063;1 599 063;1 599 063;1 603 456;1 599 063;1 599 063;1 599 063;1 603 456;1 599 063;1 599 063;1 599 063;1 603 456;1 599 063;1 599 063;1 599 063;1 603 456;1 599 063;1 599 063;0;0;0;0
Московский;ТЭП70ви;31 416 881;31 416 881;31 416 881;31 503 191;31 416 881;31 416 881;31 416 881;31 503 191;31 416 881;31 416 881;31 416 881;31 503 191;31 416 881;31 416 881;31 416 881;31 503 191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ТЭ116ви;551 310;551 310;551 310;552 825;551 310;551 310;551 310;552 825;551 310;551 310;551 310;552 825;551 310;551 310;551 310;552 825;551 310;551 310;551 310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ЭС4Кви;9 312 189;9 312 189;9 312 189;9 337 772;9 312 189;9 312 189;9 312 189;9 337 772;9 312 189;9 312 189;9 312 189;9 337 772;9 312 189;9 312 189;9 312 189;9 337 772;9 312 189;9 312 189;9 312 189;2 075 061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ВЛ10ви;2 940 322;2 940 322;2 940 322;2 948 399;2 940 322;2 940 322;2 940 322;2 948 399;2 940 322;2 940 322;2 940 322;2 948 399;2 664 666;2 664 666;1 378 276;276 412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ВЛ15ви;956 976;956 976;956 976;959 605;956 976;956 976;956 976;959 605;956 976;956 976;956 976;959 605;956 976;956 976;956 976;959 605;956 976;956 976;956 976;959 605;956 976;956 976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ВЛ60ви;1 298 753;1 298 753;1 298 753;1 302 321;1 298 753;1 298 753;1 298 753;1 302 321;1 298 753;1 298 753;1 298 753;1 302 321;1 298 753;1 298 753;1 298 753;1 302 321;1 298 753;1 298 753;1 298 753;1 302 321;1 298 753;1 298 753;2 255 729;2 261 926;2 255 729;2 255 729;2 255 729;2 261 926;2 255 729;2 255 729;2 255 729;2 261 926;2 255 729;2 255 729;2 255 729;2 261 926;2 255 729;2 255 729
Северо-Западный;ВЛ80ви;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085;33 320 085;33 411 624;33 320 085;33 320 085
